,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
455,46032,19266,2906,0.15083566905429255,39.96583,-86.17108,Carmel,IN,Indiana,True,,48853,631.6,18057,Hamilton,{'18057':100},Hamilton,18057,False,False,America/Indiana/Indianapolis
633,85308,24544,3696,0.15058670143415906,33.660509999999995,-112.18462,Glendale,AZ,Arizona,True,,66057,1444.0,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
349,62208,7006,1055,0.15058521267485012,38.59625,-90.00452,Fairview Heights,IL,Illinois,True,,16516,500.5,17163,St. Clair,{'17163':100},St. Clair,17163,False,False,America/Chicago
627,85297,9706,1460,0.15042241912219245,33.2778,-111.7335,Gilbert,AZ,Arizona,True,,33029,987.0,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
831,94030,8047,1209,0.15024232633279483,37.59972,-122.40305,Millbrae,CA,California,True,,22710,2453.7,6081,San Mateo,{'06081':100},San Mateo,06081,False,False,America/Los_Angeles
516,87111,24223,3638,0.15018783800520166,35.14382,-106.48621000000001,Albuquerque,NM,New Mexico,True,,58203,1004.6,35001,Bernalillo,{'35001':100},Bernalillo,35001,False,False,America/Denver
303,17036,9384,1409,0.15014919011082695,40.28545,-76.69875,Hummelstown,PA,Pennsylvania,True,,22618,310.3,42043,Dauphin,{'42043':100},Dauphin,42043,False,False,America/New_York
308,80537,18153,2723,0.1500027543656696,40.375440000000005,-105.18293999999999,Loveland,CO,Colorado,True,,43637,141.4,8069,Larimer,"{'08069':99.66,'08123':0.34}",Larimer|Weld,08069|08123,False,False,America/Denver
549,52402,16928,2535,0.14975189035916825,42.02274,-91.65977,Cedar Rapids,IA,Iowa,True,,41407,1125.0,19113,Linn,{'19113':100},Linn,19113,False,False,America/Chicago
253,92688,16081,2408,0.14974193147192338,33.620090000000005,-117.61231000000001,Rancho Santa Margarita,CA,California,True,,45178,1550.6,6059,Orange,{'06059':100},Orange,06059,False,False,America/Los_Angeles
116,10522,3671,549,0.14955053119041134,41.01226,-73.86479,Dobbs Ferry,NY,New York,True,,11027,1728.5,36119,Westchester,{'36119':100},Westchester,36119,False,False,America/New_York
